Complete Secondary School List | Property Review SG

| Secondary School | Chinese Name | Nature | Sch Type | PSLE 2020 (Aff.)Integ. | PSLE 2020 (Aff.)Exp. | PSLE 2020 (Aff.)N(Acad) | PSLE 2020 (Aff.)N(Tech) | PSLE 2020 (Non-Aff.)Integ. | PSLE 2020 (Non-Aff.)Exp. | PSLE 2020 (Non-Aff.)N(Acad) | PSLE 2020 (Non-Aff.)N(Tech) | IntegratedProgramme | Address |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Gan Eng Seng School | 颜永成学校 | Co-Ed | Gov Sch | 1 Henderson Road, S159561 |
| Geylang Methodist School (Secondary) | 芽笼美以美中学 | Co-Ed | Gov-Aided Sch | 2 Geylang East Central, S389705 |
| Greendale Secondary School | 绿苑中学 | Co-Ed | Gov Sch | 51 Edgedale Plains, S828866 |
| Greenridge Secondary School | 群立中学 | Co-Ed | Gov Sch | 32 Bukit Panjang Ring Road, S679938 |
| Guangyang Secondary School | 光洋中学 | Co-Ed | Gov Sch | 8 Bishan Street 12, S579807 |
| Hai Sing Catholic School | 海星天主教 | Co-Ed | Gov-Aided Sch | 9 Pasir Ris Drive 6, S519421 |
| Hillgrove Secondary School | 育林中学 | Co-Ed | Gov Sch | 10 Bukit Batok Street 52, S659250 |
| Holy Innocents' High School | 圣婴中学 | Co-Ed | Gov-Aided Sch | 1191 Upper Serangoon Road, S534786 |
| Hougang Secondary School | 后港中学 | Co-Ed | Gov Sch | 2 Hougang Street 93, S534256 |
| Hua Yi Secondary School | 华义中学 | Co-Ed | Gov Sch | 60 Jurong West St 42, S649371 |
| Hwa Chong Institution (Secondary) | 华侨中学 | Co-Ed | Independent Sch | 661 Bukit Timah Road, S269734 |
| Junyuan Secondary School | 俊源中学 | Co-Ed | Gov Sch | 11 Tampines Street 84, S528933 |
| Jurong Secondary School | 裕廊中学 | Co-Ed | Gov Sch | 31 Yuan Ching Road, S618652 |
| Jurong West Secondary School | 裕廊西中学 | Co-Ed | Gov Sch | 61 Jurong West Street 65, S648348 |
| Jurongville Secondary School | 裕廊景中学 | Co-Ed | Gov Sch | 202 Jurong East Avenue 1, S609790 |
| Juying Secondary School | 聚英中学 | Co-Ed | Gov Sch | 33 Jurong West Street 91, S649038 |
| Kent Ridge Secondary School | 岗丽中学 | Co-Ed | Gov Sch | 147 West Coast Road, S127368 |
| Kranji Secondary School | 科兰芝中学 | Co-Ed | Gov Sch | 61 Choa Chu Kang Street 51, S689333 |
| Kuo Chuan Presbyterian Secondary School | 国专长老会中学 | Co-Ed | Gov-Aided Sch | 10 Bishan Street 13, S579795 |
| Loyang View Secondary School | 洛阳景中学 | Co-Ed | Gov Sch | 12 Pasir Ris Street 11, S519073 |
| Manjusri Secondary School | 文殊中学 | Co-Ed | Gov-Aided Sch | 20 Ubi Avenue 1, S408940 |
| Maris Stella High School (Secondary) | 海星中学 | Boys | Gov-Aided Sch/ Auto. | 25 Mount Vernon Road, S368051 |
| Marsiling Secondary School | 马西岭中学 | Co-Ed | Gov Sch | 12 Marsiling Road, S739110 |
